14.02.2022 11:36:28.221 INFO  - Start parsing: https://bank.gov.ua/ua/statistic/nbureport/regindicator-statreport/files-21 ...
14.02.2022 11:36:29.305 DEBUG - tr:1
14.02.2022 11:36:29.306 DEBUG - 	td0:Балансова звітність банків
14.02.2022 11:36:29.352 DEBUG - 	td:1:30.12.2021
14.02.2022 11:36:29.352 DEBUG - 	td:2:'Description (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.352 DEBUG - tr:31
14.02.2022 11:36:29.352 DEBUG - 	td0:6IX
14.02.2022 11:36:29.352 DEBUG - 	td:1:6IX
14.02.2022 11:36:29.353 DEBUG - 	td:2:"Дані за активними операціями з контрагентами/пов'язаними з банком особами"
14.02.2022 11:36:29.353 DEBUG - 	td:3:28.01.2021
14.02.2022 11:36:29.353 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.353 DEBUG - 	td:5:10.10.2018
14.02.2022 11:36:29.353 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.353 DEBUG - 	td:7:29.10.2021
14.02.2022 11:36:29.353 DEBUG - 	td:8:Description
14.02.2022 11:36:29.354 DEBUG - 	td:9:28.08.2020
14.02.2022 11:36:29.354 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.354 DEBUG - 	td:11:t6ix
14.02.2022 11:36:29.354 DEBUG - tr:32
14.02.2022 11:36:29.354 DEBUG - 	td0:30.12.2021
14.02.2022 11:36:29.354 DEBUG - 	td:1:30.12.2021
14.02.2022 11:36:29.354 DEBUG - 	td:2:'Description (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.354 DEBUG - 	td:3:30.12.2021
14.02.2022 11:36:29.354 DEBUG - 	td:4:'Controls (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.354 DEBUG - tr:33
14.02.2022 11:36:29.355 DEBUG - 	td0:6KX
14.02.2022 11:36:29.355 DEBUG - 	td:1:6KX
14.02.2022 11:36:29.355 DEBUG - 	td:2:"Дані щодо розрахунку коефіцієнта покриття ліквідністю (LCR)"
14.02.2022 11:36:29.355 DEBUG - 	td:3:14.07.2021
14.02.2022 11:36:29.355 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.355 DEBUG - 	td:5:15.11.2018
14.02.2022 11:36:29.355 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.355 DEBUG - 	td:7:14.07.2021
14.02.2022 11:36:29.355 DEBUG - 	td:8:Description
14.02.2022 11:36:29.355 DEBUG - 	td:9:01.07.2021
14.02.2022 11:36:29.355 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.355 DEBUG - 	td:11:t6kx
14.02.2022 11:36:29.355 DEBUG - tr:34
14.02.2022 11:36:29.355 DEBUG - 	td0:30.12.2021
14.02.2022 11:36:29.356 DEBUG - 	td:1:30.12.2021
14.02.2022 11:36:29.356 DEBUG - 	td:2:'Registry (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.356 DEBUG - 	td:3:30.12.2021
14.02.2022 11:36:29.356 DEBUG - 	td:4:'Description (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.356 DEBUG - tr:35
14.02.2022 11:36:29.356 DEBUG - 	td0:6LX
14.02.2022 11:36:29.356 DEBUG - 	td:1:6LX
14.02.2022 11:36:29.356 DEBUG - 	td:2:"Дані про концентрацію ризиків банківської групи"
14.02.2022 11:36:29.356 DEBUG - 	td:3:07.08.2020
14.02.2022 11:36:29.356 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.356 DEBUG - 	td:5:07.08.2020
14.02.2022 11:36:29.356 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.356 DEBUG - 	td:7:16.10.2020
14.02.2022 11:36:29.357 DEBUG - 	td:8:Description
14.02.2022 11:36:29.357 DEBUG - 	td:9:01.06.2021
14.02.2022 11:36:29.357 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.357 DEBUG - 	td:11:t6lx
14.02.2022 11:36:29.357 DEBUG - tr:36
14.02.2022 11:36:29.357 DEBUG - 	td0:31.12.2021
14.02.2022 11:36:29.357 DEBUG - 	td:1:31.12.2021
14.02.2022 11:36:29.357 DEBUG - 	td:2:'Description (зі звітної дати 01.04.2022)
14.02.2022 11:36:29.357 DEBUG - 	td:3:14.01.2022
